workload,N,rep,first_query_us,avg_us,majflt,minflt
C,9,3,404.72,1.54,25,27
C,10,1,501.80,1.54,25,27
C,10,2,388.74,1.53,25,27
C,10,3,394.09,1.55,25,27
C,11,1,513.84,1.55,25,27
C,11,2,426.24,1.56,25,27
C,11,3,408.01,1.57,25,27
C,12,1,411.70,1.55,25,27
C,12,2,401.58,1.53,25,28
C,12,3,408.37,1.54,25,27
C,13,1,491.48,1.55,25,27
C,13,2,385.25,1.53,25,27
C,13,3,392.85,1.55,25,27
C,14,1,411.32,1.55,25,27
C,14,2,422.06,1.55,25,27
C,14,3,425.18,1.55,25,27
C,15,1,455.90,1.56,25,27
C,15,2,385.90,1.52,25,27
C,15,3,412.25,1.54,25,27
C,16,1,417.44,1.57,25,27
C,16,2,382.37,1.56,25,27
C,16,3,404.56,1.59,25,27
C,17,1,394.75,1.54,25,27
C,17,2,398.38,1.54,25,27
C,17,3,392.44,1.54,25,27
C,18,1,389.84,1.55,25,27
C,18,2,420.82,1.54,25,27
C,18,3,393.99,1.55,25,27
C,19,1,422.46,1.56,25,27
C,19,2,388.47,1.56,25,27
C,19,3,382.67,1.57,25,27
C,20,1,403.45,1.56,25,27
C,20,2,412.87,1.54,25,27
C,20,3,380.55,1.56,25,27
C,21,1,401.51,1.55,25,27
C,21,2,449.44,1.55,25,27
C,21,3,385.99,1.55,25,27
C,22,1,385.62,1.56,25,28
C,22,2,426.65,1.56,25,27
C,22,3,396.97,1.60,25,27
C,23,1,389.17,1.56,25,27
C,23,2,383.20,1.56,25,27
C,23,3,418.03,1.53,25,28
C,24,1,526.62,1.57,25,28
C,24,2,390.94,1.54,25,27
C,24,3,414.50,1.57,25,27
C,25,1,417.64,1.55,25,27
C,25,2,387.53,1.57,25,27
C,25,3,387.65,1.57,25,27
C,26,1,475.82,1.58,25,27
C,26,2,419.93,1.55,25,27
C,26,3,390.20,1.55,25,27
C,27,1,494.63,1.55,25,27
C,27,2,434.99,1.54,25,27
C,27,3,393.13,1.56,25,27
C,28,1,384.82,1.56,25,27
C,28,2,386.82,1.55,25,27
C,28,3,404.15,1.54,25,27
C,29,1,388.80,1.53,25,27
C,29,2,469.59,1.55,25,27
C,29,3,391.12,1.56,25,27
C,30,1,446.59,1.55,25,27
C,30,2,388.02,1.55,25,27
C,30,3,382.86,1.55,25,27
C,31,1,483.14,1.58,25,27
C,31,2,458.03,1.55,25,27
C,31,3,387.74,1.53,25,27
C,32,1,431.22,1.57,25,27
C,32,2,407.30,1.53,25,27
C,32,3,528.77,1.55,25,27
C,33,1,458.35,1.54,25,27
C,33,2,499.62,1.57,25,27
C,33,3,389.50,1.56,25,27
C,34,1,390.79,1.55,25,27
C,34,2,382.37,1.55,25,27
C,34,3,381.93,1.56,25,27
C,35,1,388.67,1.53,25,27
C,35,2,435.30,1.56,25,27
C,35,3,378.99,1.55,25,28
C,36,1,383.86,1.56,25,28
C,36,2,425.95,1.53,25,27
C,36,3,457.61,1.54,25,27
C,37,1,421.85,1.55,25,27
C,37,2,426.11,1.56,25,27
C,37,3,428.25,1.55,25,27
C,38,1,414.57,1.55,25,27
C,38,2,391.98,1.55,25,27
C,38,3,402.52,1.56,25,27
C,39,1,389.55,1.58,25,27
C,39,2,391.76,1.56,25,27
C,39,3,383.57,1.55,25,27
C,40,1,429.10,1.54,25,27
C,40,2,381.38,1.55,25,28
C,40,3,388.80,1.57,25,27
C,41,1,425.11,1.55,25,27
C,41,2,405.49,1.54,25,27
C,41,3,431.28,1.55,25,27
C,42,1,455.17,1.55,25,27
C,42,2,395.91,1.56,25,27
C,42,3,393.24,1.56,25,27
C,43,1,377.58,1.53,25,27
C,43,2,373.66,1.53,25,27
C,43,3,406.43,1.57,25,27
C,44,1,424.26,1.54,25,27
C,44,2,382.19,1.56,25,27
C,44,3,393.95,1.53,25,27
C,45,1,397.68,1.53,25,27
C,45,2,431.26,1.59,25,27
C,45,3,421.94,1.56,25,27
C,46,1,446.73,1.56,25,27
C,46,2,422.75,1.54,25,27
C,46,3,457.75,1.54,25,27
C,47,1,381.84,1.54,25,27
C,47,2,396.51,1.56,25,27
C,47,3,455.68,1.55,25,27
C,48,1,399.97,1.59,25,27
C,48,2,447.56,1.54,25,28
C,48,3,420.89,1.54,25,27
C,49,1,417.81,1.55,25,27
C,49,2,430.54,1.55,25,27
C,49,3,378.09,1.55,25,27
C,50,1,450.31,1.58,25,28
C,50,2,388.60,1.59,25,27
C,50,3,424.22,1.56,25,27
C,51,1,384.41,1.55,25,27
C,51,2,433.85,1.59,25,27
C,51,3,451.88,1.57,25,27
C,52,1,387.58,1.55,25,27
C,52,2,389.31,1.57,25,27
